Library Scale Value,Scale Name,Response Description,Points,Response Type
15096,6-point GG scale,06. Independent,100.0%,
15097,6-point GG scale,05. Setup or clean-up assistance,95.0%,
15098,6-point GG scale,04. Supervision or touching assistance,85.0%,
15099,6-point GG scale,03. Partial/moderate assistance,50.0%,
15100,6-point GG scale,02. Substantial/maximal assistance,25.0%,
15101,6-point GG scale,01. Dependent,0.0%,
15102,6-point GG scale,07. Resident refused,0.0%,N/A
15103,6-point GG scale,09. Not applicable,0.0%,N/A
15104,6-point GG scale,10. Not attempted due to environmental limitations,0.0%,N/A
15105,6-point GG scale,88. Not attempted due to medical condition or safety concerns,0.0%,N/A
24851,10-point gait assist scale,10. Independent,100.0%,
24852,10-point gait assist scale,09. Mostly independent,90.0%,
24853,10-point gait assist scale,08. Setup or clean-up assistance,75.0%,
24854,10-point gait assist scale,07. Supervision or touching assistance,60.0%,
24855,10-point gait assist scale,06. Stand-by assist,45.0%,
24856,10-point gait assist scale,05. Contact-guard assist,30.0%,
24857,10-point gait assist scale,04. Minimum assist,25.0%,
24858,10-point gait assist scale,03. Moderate assist,15.0%,
24859,10-point gait assist scale,02. Maximum assist,8.0%,
24860,10-point gait assist scale,01. Totally dependent,0.0%,
24861,10-point gait assist scale,88. Not assessed,0.0%,N/A
24862,10-point gait assist scale,88. Not assessed,0.0%,N/A
25082,13-point gait speed scale,13. Speed ? 1.2 m/s. Community amb. Able to safely cross street.,100.0%,
25525,13-point gait speed scale,13. Speed ? 1.2 m/s. Community amb. Able to safely cross street.,100.0%,
25081,13-point gait speed scale,"12. Speed 1.1 m/s. Community amb, but unable to safely cross street. Fall risk.",95.0%,
25524,13-point gait speed scale,"12. Speed 1.1 m/s. Community amb, but unable to safely cross street. Fall risk.",95.0%,
25080,13-point gait speed scale,"11. Speed 1.0 m/s. Community amb, but unable to safely cross street. Fall risk.",90.0%,
25523,13-point gait speed scale,"11. Speed 1.0 m/s. Community amb, but unable to safely cross street. Fall risk.",90.0%,
25079,13-point gait speed scale,"10. Speed 0.9 m/s. Community amb, but unable to safely cross street. Fall risk.",85.0%,
25522,13-point gait speed scale,"10. Speed 0.9 m/s. Community amb, but unable to safely cross street. Fall risk.",85.0%,
