FacilityId,FacilityNumber,FacilityName,Status,FirstActivityMonth,GoLiveMonth,PreEndDate,PostStartDate,PlateauMinutes,ActiveMonths
997,92379,Wichita Presbyterian Manor,implemented,2025-03,2025-03,2025-02-28,2025-04-01,7155,17
1704,97582,Alfredo Gonzalez Texas State Veterans Home,implemented,2025-10,2025-11,2025-09-30,2025-12-01,9754,10
881,4877,Brickyard Healthcare -  Elkhart,implemented,2025-10,2025-11,2025-09-30,2025-12-01,12767,8
859,220,Brickyard Healthcare - 12th Street,implemented,2025-11,2025-11,2025-10-31,2025-12-01,6194,9
855,2046,Brickyard Healthcare - Bloomington,implemented,2025-11,2025-11,2025-10-31,2025-12-01,8100,9
822,93,Brickyard Healthcare - Brookview,implemented,2025-11,2025-11,2025-10-31,2025-12-01,7056,9
527,242,Brickyard Healthcare - Fountainview,implemented,2025-10,2025-11,2025-09-30,2025-12-01,4309,10
817,256,Brickyard Healthcare - Fountainview Terrace,implemented,2025-10,2025-11,2025-09-30,2025-12-01,14153,10
857,97,Brickyard Healthcare - Golden Rule,implemented,2025-10,2025-11,2025-09-30,2025-12-01,8334,10
882,4875,Brickyard Healthcare - Knox,implemented,2025-10,2025-11,2025-09-30,2025-12-01,11366,10
819,257,Brickyard Healthcare - La Porte,implemented,2025-10,2025-11,2025-09-30,2025-12-01,12030,10
869,2272,Brickyard Healthcare - Lincoln Hills,implemented,2025-10,2025-11,2025-09-30,2025-12-01,7207,10
851,276,Brickyard Healthcare - Merrillville,implemented,2025-11,2025-11,2025-10-31,2025-12-01,18353,9
887,4878,Brickyard Healthcare - Muncie,implemented,2025-10,2025-11,2025-09-30,2025-12-01,30153,10
854,98,Brickyard Healthcare - Petersburg,implemented,2025-10,2025-11,2025-09-30,2025-12-01,8895,10
850,96,Brickyard Healthcare - Richmond,implemented,2025-11,2025-11,2025-10-31,2025-12-01,9039,9
886,2281,Brickyard Healthcare - Sycamore Village,implemented,2025-10,2025-11,2025-09-30,2025-12-01,17291,10
853,218,Brickyard Healthcare - Valparaiso,implemented,2025-10,2025-11,2025-09-30,2025-12-01,7995,9
818,92,Brickyard Healthcare - Willow Springs,implemented,2025-10,2025-11,2025-09-30,2025-12-01,8324,10
884,2158,Brickyard Healthcare - Woodbridge,implemented,2025-10,2025-11,2025-09-30,2025-12-01,5886,10
888,3678,Brickyard Healthcare - Woodlands,implemented,2025-10,2025-11,2025-09-30,2025-12-01,9327,10
852,90,Brickyard Healthcare – Churchman,implemented,2025-10,2025-11,2025-09-30,2025-12-01,8753,10
1686,97581,Country Care Manor,implemented,2025-10,2025-11,2025-09-30,2025-12-01,9776,10
1695,97575,Frank M. Tejeda Texas State Veterans Home,implemented,2025-10,2025-11,2025-09-30,2025-12-01,7585,10
2031,97812,Hill Country Heights,implemented,2025-10,2025-11,2025-09-30,2025-12-01,6845,10
